526,1010
526,13
1719,1010
1719,13
1191,653
1191,778
716,653
716,778
99,56
99,1734
1589,56
1589,1734
388,1060
388,1397
222,1060
222,1397
1489,1042
1489,200
37,1042
37,200
1117,852
1117,1660
498,852
498,1660
842,550
842,402
549,550
549,402
99,628
99,1209
1589,628
1589,1209
1191,1761
1191,1384
716,1761
716,1384
841,49
841,1613
1675,49
1675,1613
896,1817
896,1533
762,1817
762,1533
942,1046
942,253
1723,1046
1723,253
1805,1481
1805,368
194,1481
194,368
1578,1105
1578,1370
1799,1105
1799,1370
1805,700
194,700
1164,287
1164,9
493,287
493,9
237,355
237,616
139,355
139,616
1805,1540
1805,665
194,1540
194,665
237,354
237,655
139,354
139,655
23,617
23,1363
1200,617
1200,1363
1527,1511
1527,1060
369,1511
369,1060
574,1814
574,1057
1716,1814
1716,1057
602,585
602,1745
1359,585
1359,1745
896,1860
896,1742
762,1860
762,1742
942,1512
942,1060
1723,1512
1723,1060
1758,1060
1758,1693
66,1060
66,1693
1467,1125
1467,174
1483,1125
1483,174
1489,567
1489,0
37,567
37,0
1480,655
1480,1765
850,655
850,1765
1805,1127
1805,591
194,1127
194,591
99,1178
99,906
1589,1178
1589,906
237,103
237,726
139,103
139,726
707,1395
707,119
681,1395
681,119
1805,1911
1805,1138
194,1911
194,1138
1758,655
1758,1765
66,655
66,1765
543,570
543,977
182,570
182,977
543,285
182,285
131,721
131,732
1299,721
1299,732
942,837
942,81
1723,837
1723,81
23,341
23,316
1200,341
1200,316
97,343
97,1647
872,343
872,1647
97,196
97,1777
872,196
872,1777
1933,170
1933,941
1142,170
1142,941
526,1831
526,1963
1719,1831
1719,1963
896,1065
896,475
762,1065
762,475
1153,1419
1153,1692
894,1419
894,1692
842,259
842,356
549,259
549,356
327,1592
327,588
586,1592
586,588
1578,1766
1578,1584
1799,1766
1799,1584
1117,1338
1117,974
498,1338
498,974
1805,1226
1805,1681
194,1226
194,1681
859,552
859,452
703,552
703,452
574,1708
574,449
1716,1708
1716,449
1489,207
1489,1940
37,207
37,1940
1578,359
1578,991
1799,359
1799,991
942,85
942,1507
1723,85
1723,1507
388,1060
388,228
222,1060
222,228
1118,1602
1118,774
156,1602
156,774
521,1612
521,1897
1007,1612
1007,1897
1467,688
1467,1490
1483,688
1483,1490
1480,826
1480,129
850,826
850,129
327,1866
327,1292
586,1866
586,1292
707,1861
707,21
681,1861
681,21
942,564
942,742
1723,564
1723,742
1758,398
1758,790
66,398
66,790
237,566
237,7
139,566
139,7
1191,1732
1191,136
716,1732
716,136
1743,427
1743,481
1231,427
1231,481
131,548
131,467
1299,548
1299,467
1489,1262
1489,411
37,1262
37,411
574,1364
574,1404
1716,1364
1716,1404
942,761
942,1317
1723,761
1723,1317
97,517
97,324
872,517
872,324
896,1862
896,740
762,1862
762,740
99,1813
99,529
1589,1813
1589,529
1191,1738
1191,1408
716,1738
716,1408
237,1876
237,1666
139,1876
139,1666
896,1616
896,596
762,1616
762,596
707,744
707,1725
681,744
681,1725
1023,249
1023,272
26,249
26,272
1629,1062
1629,1796
964,1062
964,1796
942,568
942,227
1723,568
1723,227
1629,970
1629,1913
964,970
964,1913
23,679
23,370
1200,679
1200,370
327,1818
327,1060
586,1818
586,1060
23,57
23,169
1200,57
1200,169
1629,948
1629,964
964,948
964,964
1805,1082
1805,1060
194,1082
194,1060
842,1004
842,1381
549,1004
549,1381
1023,836
1023,1162
26,836
26,1162
526,1606
526,739
1719,1606
1719,739
23,1928
23,1765
1200,1928
1200,1765
842,1024
842,1060
549,1024
549,1060
1805,152
1805,1917
194,152
194,1917
521,655
521,1765
1007,655
1007,1765
1604,1086
1604,1236
1910,1086
1910,1236
602,1280
602,216
1359,1280
1359,216
1629,1060
1629,802
964,1060
964,802
131,1566
131,813
1299,1566
1299,813
97,577
97,1276
872,577
872,1276
388,1307
388,184
222,1307
222,184
1153,699
1153,45
894,699
894,45
602,959
602,967
1359,959
1359,967
97,1722
97,283
872,1722
872,283
1118,1055
1118,1303
156,1055
156,1303
388,539
388,1036
222,539
222,1036
121,581
121,89
1614,581
1614,89
942,317
942,1544
1723,317
1723,1544
1527,973
1527,1268
369,973
369,1268
131,1304
131,28
1299,1304
1299,28
1578,1310
1578,64
1799,1310
1799,64
1191,834
1191,540
716,834
716,540
237,1603
237,105
139,1603
139,105
1164,960
1164,1494
493,960
493,1494
526,960
526,1494
1719,960
1719,1494
1480,960
1480,1494
850,960
850,1494
99,1770
99,1774
1589,1770
1589,1774
1933,677
1933,1791
1142,677
1142,1791
1578,1413
1578,1237
1799,1413
1799,1237
388,457
388,1506
222,457
222,1506
237,704
237,387
139,704
139,387
1489,1884
1489,325
37,1884
37,325
1191,1416
1191,607
716,1416
716,607
1793,291
1793,702
1168,291
1168,702
1118,1502
1118,1800
156,1502
156,1800
521,315
521,1762
1007,315
1007,1762
1489,1680
1489,766
37,1680
37,766
1933,1022
1933,1401
1142,1022
1142,1401
131,262
131,455
1299,262
1299,455
131,1891
131,393
1299,1891
1299,393
1489,1978
1489,1871
37,1978
37,1871
842,1376
842,1703
549,1376
549,1703
1480,420
1480,522
850,420
850,522
1629,934
1629,580
964,934
964,580
841,883
841,233
1675,883
1675,233
1578,1557
1578,1419
1799,1557
1799,1419
543,1619
543,1541
182,1619
182,1541
1604,1185
1604,755
1910,1185
1910,755
1480,1949
1480,583
850,1949
850,583
1743,877
1743,98
1231,877
1231,98
942,794
942,1213
1723,794
1723,1213
521,260
521,1407
1007,260
1007,1407
859,1029
859,1931
703,1029
703,1931
99,518
99,551
1589,518
1589,551
869,861
869,1683
186,861
186,1683
841,1797
841,375
1675,1797
1675,375
521,241
521,371
1007,241
1007,371
1887,890
1887,1020
1639,890
1639,1020
1153,1784
1153,1331
894,1784
894,1331
543,1919
543,1372
182,1919
182,1372
1793,1396
1793,1358
1168,1396
1168,1358
1805,433
1805,1476
194,433
194,1476
1743,68
1743,172
1231,68
1231,172
23,300
23,1579
1200,300
1200,1579
841,635
841,261
1675,635
1675,261
859,1419
859,269
703,1419
