AFAM-162_Lecture-1,"Professor Holloway offers an introduction to the course. He explains the organization of the course and summarizes some of the key concepts that will be explored over the course of the semester. Professor Holloway uses the African American experience as a prism to understand American history, because, as he notes, the African American experience speaks to the very heart of what it means to be American. He highlights specific examples of the linkage between freedom, citizenship, and the denial of citizenship, including an ex-slave’s epitaph and Confederate scrip. Finally, Professor Holloway shows how the post-emancipation African American experience is a history of political struggle, social protest, social control, cultural celebration, and a history of powerful relevance today for many of its political and cultural symbols. Warning: This lecture contains graphic content and/or adult language that some users may find disturbing."
AFAM-162_Lecture-2,"In this lecture, Professor Holloway gives a brief summary of what was happening in the decades leading up to the Civil War, including the Missouri Compromise, the Dred Scott decision, and John Brown’s raid at Harpers Ferry. He discusses the Civil War, focusing specifically on the Emancipation Proclamation and the Conscription Acts of 1863. Professor Holloway spends the duration of the lecture focusing on the labor and racial tensions that led to the New York City draft riots and their aftermath. The crucible of the Civil War, he argues, gives a very clear picture of what it means to be a citizen and what it means to be American. Professor Holloway then gives specific examples of how citizenship was linked to freedom, how freedom was linked to race, and how the tensions between these linkages produced extreme violence."
AFAM-162_Lecture-3,"Between 1865 and 1877, several plans were developed by which the Confederate states could be readmitted to the Union and the residents of the states given full citizenship rights. It was far from clear, however, which plan would do a better job maintaining the social peace and protecting African Americans’ ability to earn a wage, raise a family, own land, and exercise the right to vote. In this lecture, Professor Holloway outlines the contours of the Ten Percent Plan, Presidential Reconstruction, and Radical Reconstruction, and he explains how these plans embraced a variety of approaches to reuniting the disparate states. As Professor Holloway explains, Reconstruction greatly enhanced the rights of African Americans, while also circumscribing their lives by new political, economic, and social initiatives. Warning: This lecture contains graphic content and/or adult language that some users may find disturbing."
AFAM-162_Lecture-4,"After the massive cultural shift that the South endured under Reconstruction, white Southerners were determined to fight back. In this lecture, Professor Holloway discusses the complicated meaning of Redemption as white Southerners rose up, reclaimed, and redeemed that which they thought was theirs. During this era, African Americans experienced extreme forms of violence as whites guaranteed the return of power, including the resurgence of the KKK, as well as gerrymandering and poll taxes to ensure the elimination of blacks as a voting class. In the second half of the lecture, Professor Holloway focuses on the ideas of civilization and manliness, lynchings, and anti-lynching campaigns. Fears of rape and ideas of white womanhood frequently served as the justification for the systematic psychological and economic terrorism of African Americans during the “Rise of Redemption.” Warning: This lecture contains graphic content and/or adult language that some users may find disturbing."
AFAM-162_Lecture-5,"In the closing decades of the 1800s, African Americans witnessed the end of Reconstruction, the Redemption of the white South, and increased threats to their political, economic, physical, and psychological well-being. Historians often refer to this era as the “nadir,” the lowest point, in the post-Emancipation black experience. But, as Professor Holloway explains in this lecture, the oppressive realities of black life did not silence the most dedicated black activists. During this time, a new generation of black political and intellectual leaders, including Alexander Crummell, Anna Julia Cooper, and W. E. B. Du Bois, dedicated themselves to “uplifting” blacks politically, economically, and morally. As Professor Holloway reveals, uplift meant different things to different people, acting as both a subversive and conservative ideology."
AFAM-162_Lecture-6,"In this lecture, Professor Holloway explains the two major schools of thought that emerged at the end of the century to solve the problems of black social and economic distress. The accommodationists, like Booker T. Washington, believed that the quickest way to improve the quality of black life was to forge a social peace with powerful whites, temporarily accepting the continued separation of the races and advocating vocational education as a pragmatic way for blacks to improve their lives. Opposed to Washington were people like Anna Julia Cooper and W.E.B. Du Bois who embraced assimilation and saw higher education as the cure-all to racialized problems. Du Bois, in particular, is famous for his assertion that it would be the “Talented Tenth” of the race who would lead blacks to a better life."
AFAM-162_Lecture-7,"In this lecture, Professor Holloway documents the “Great Migration,” beginning in the first decade of the twentieth century and continuing with increasing pace until the mid-1920s. During this time, black Americans relocated from the rural South to the urban North. This general shift in the population marked a moment of self-determination for African Americans, demonstrating that they were prepared to leave behind the lives they had made in the South for better opportunities elsewhere. It is important to see these migrations as a form of social protest against the limited political and economic opportunity in the South, racial violence, and the KKK, which was reborn and flourished in the early 1920s. As Professor Holloway reveals, urban life in the North was frequently cruel and often difficult, but it was also a life forged of free will and absent a regional and cultural history of forced bondage. The remainder of the lecture focuses on how whites’ racial anxieties were manifested in the cultural realm, using D.W. Griffith’s popular film Birth of a Nation. Warning: This lecture contains graphic content and/or adult language that some users may find disturbing."
AFAM-162_Lecture-8,"In this lecture, Professor Holloway expands our understanding of “The Great Migration” by looking at what happens when African Americans settled in Northern and Midwestern cities. He examines the 1917 East St. Louis race riot, the 1919 Chicago race riot, and the NAACP’s Silent Protest Parade from New York City’s Fifth Avenue to Harlem. The second portion of the lecture is on African American soldiers’ experiences abroad during World War, their rising expectations for citizenship rights when they return, the new militancy that they espoused, and the racial backlash against them by whites. Black soldiers, returning to the U.S. after risking their lives in war, were lynched in uniform. Responding to this backlash, Professor Holloway shows how civil rights activist W.E.B. Du Bois and poet Claude McKay foreshadowed the new political climate in which African Americans would assert their rights."
AFAM-162_Lecture-9,"In this lecture, Professor Holloway discusses the New Negro mentality, a new black consciousness forged out of political and economic frustration and the cultural shocks of the Great Migration. The New Negro ideology was articulated on a wide scale after World War I, when the promises of democracy at home went unfulfilled. Marcus Garvey best articulated this new consciousness through his Universal Negro Improvement Association (UNIA), the first organized grassroots mass protest movement in African American history. Garvey advocated black pride and autonomy, worked to build a great steam line so blacks could partake in nation-building, and helped dispirited blacks dream of an eventual return to Africa. Garvey’s ability to realize his dreams was limited by his own organizational ineptitude and by the federal government’s systematic attempts to infiltrate and then destroy the UNIA. The lecture ends with an examination of Garvey’s relationships to other black leaders, including Father Divine and his Peace Mission Movement."
AFAM-162_Lecture-10,"The Harlem Renaissance brought together legions of black writers, artists, musicians, and intellectuals who celebrated black culture and romanticized its connections to an African past. In this lecture, Professor Holloway documents some of the expressions of the Harlem Renaissance (also known as the New Negro Renaissance), the political and cultural movement that claimed Harlem as its figurative capital. In fact, thousands of African Americans flocked to Harlem, and it became the center of a rich cultural and political environment–one always fraught with complications, but still understood to represent the best that black America had to offer. As Professor Holloway shows, white enthusiasts of these newly-admired cultural forms visited Harlem to get a taste of black life. Indeed, without the financial support of the white community, whatever cultural efflorescence that did exist in Harlem would have been significantly less grand. Yet the tensions between white patrons and black artists, as well as between black intellectuals and black artists, made the Harlem Renaissance a complex movement. Warning: This lecture contains graphic content and/or adult language that some users may find disturbing."
AFAM-162_Lecture-11,"The 1930s was a decade filled with economic, legal, political, and social controversy. In this lecture, Professor Holloway looks at the Great Depression and the federal government’s responses to it, including the New Deal’s impact on African Americans, both materially and symbolically. As the federal government openly courted their favor, African Americans organized various political groups to monitor federal activities. In the second portion of the lecture, Professor Holloway examines the achievements of the Black Cabinet, the injustices of the Scottsboro Boys’ case, and the efficacy of the “Don’t Buy Where You Can’t Work” campaigns, led in Washington, D.C., by the New Negro Alliance. As much as the 1930s were about retrenchment for African Americans, they also reflected new political possibilities and new forms of political expression within black America. Thus, as Professor Holloway reveals, the roots of the modern civil rights movement are all part and parcel of New Deal America."
AFAM-162_Lecture-12,"In this lecture, Professor Holloway continues discussing African American political possibilities in the second half of the 1930s by examining the new mentality at work in black America. He focuses on the National Negro Congress, the Marian Anderson Easter Sunday Concert, and the March on Washington movement. These examples reveal the diverse strategies and organizing methods employed during this era, as the federal government learned that it could not afford to ignore black leaders the way it had since the founding of the Republic. Professor Holloway also examines the radical possibilities of this decade, as black Communists and Socialists advanced democratic visions for the country. For a brief moment, these ideas appeared to have traction. Yet as the Cold War marched on, charges of communism would decimate some African American civil rights groups."
AFAM-162_Lecture-13,"In this lecture, Professor Holloway presents an overview of the civil rights events that took place between the end of World War II and Brown v. Board of Education in 1954. A critical survey of the histories behind such famous events as the desegregation of the Armed Forces, the formation of the Congress on Racial Equality (CORE), the elimination of the all-white primary, and the Supreme Court’s Brown decision demonstrate how complicated the story of the civil rights movement is. Professor Holloway canvasses events on the high political stage as well as in the legal arena to understand the fundamental shift, taking place in the country on racial issues. An examination of civil rights organizing practices and legal strategies in the 1940s, in particular, helps provide a framework for re-periodizing the movement. Warning: This lecture contains graphic content and/or adult language that some users may find disturbing."
AFAM-162_Lecture-14,"Martin Luther King, Jr. and the civil rights movement have become embodied in each other. But in this lecture, Professor Holloway asks: what of the other activists in the struggle? What of the other organizations involved in the struggle? And what of the history of the struggle before King reluctantly emerged on the scene? By uncovering the histories of the Montgomery bus boycott, the integration of Central High School in Little Rock, the death of Emmett Till, the Greensboro student sit-ins, and the formation of the Southern Christian Leadership Conference and the Student Nonviolent Coordinating Committee, one finds differing responses to violence and multiple approaches to attacking racial bias and discrimination. Professor Holloway also draws attention to the gender dynamics of the civil rights movement by considering the inner-workings of the Women’s Political Council in Montgomery, Alabama, the original motivating force behind the 1955 bus boycott, and the great importance of respectability to the movement. This lecture reveals that there was no single civil rights movement, that there were many activists working in a variety of different ways and with varying degrees of success, and that King was a complicated figure, both inspiring and stifling activism. Warning: This lecture contains graphic content and/or adult language that some users may find disturbing."
AFAM-162_Lecture-15,"In this lecture, Professor Holloway offers a richer portrait of Martin Luther King, Jr. than his “I Have a Dream Speech” speech provides. Though King’s message and delivery are precious moments in this nation’s history, and excerpts are familiar to virtually all American school children, King’s opinion of society and its remedy have been frozen in time and reduced to a few moments of his famous speech. Professor Holloway frees King from his magnificent yet soothing speech in order to appreciate the real world political and social battles that defined his life and the lives of those who fought beside him in the struggle for freedom and equality. By shedding light on moments that have been dropped out of the “master narrative” of the civil rights movement, Professor Holloway demonstrates that the movement was far from reaching a moment of transcendence at the 1963 March on Washington."
AFAM-162_Lecture-16,"In this lecture, Professor Holloway revisits Malcolm X’s life in order to offer a more nuanced interpretation of the black leader than is traditionally taught. Professor Holloway links Malcolm X to a tradition of black intellectuals and political activists like Booker T. Washington, Marcus Garvey, and Robert Williams, and he explores the philosophy of the Nation of Islam (NOI), the organization for which Malcolm X is the national spokesman before his split with Elijah Muhammad in 1964. In the final year of his life, prior to his assassination by NOI members in 1965, Malcolm X makes a religious journey to Mecca, rejects his prior views on race, starts the Organization of Afro-American Unity, and adopts the name El-Hajj Malik El-Shabazz. In the remainder of the lecture, Professor Holloway backtracks to explore some of the other historical events that frame the civil rights movement, including Freedom Summer, the Mississippi Freedom Democratic Party, and the 1964 Civil Rights Act."
