0,1
2,3
4,5
6,7
8,9
0,7
10,11
12,1
13,14
15,16
17,18
19,20
21,20
22,23
24,25
26,27
6,1
28,29
8,22
30,31
32,6
33,6
34,35
36,22
37,38
39,40
41,42
43,16
44,45
46,47
48,3
9,31
49,50
51,1
52,53
56,57
58,59
60,15
61,62
63,15
64,22
17,45
29,1
65,13
66,25
6,67
68,22
69,28
26,6
72,13
22,13
34,13
40,13
39,6
10,35
35,73
74,34
32,22
75,76
6,23
77,22
36,60
78,22
17,41
73,1
79,13
80,22
17,43
81,6
82,28
20,83
84,85
86,87
88,31
89,61
90,23
91,17
92,13
93,17
23,94
95,1
96,6
2,1
17,97
98,22
99,13
100,34
68,41
101,1
72,20
41,102
7,1
103,13
24,65
98,104
105,13
42,6
106,20
3,13
13,94
107,20
108,107
34,109
10,82
87,110
4,111
112,100
113,18
47,114
37,83
115,6
116,117
118,28
119,76
24,22
75,16
120,6
41,121
20,31
107,22
54,77
123,124
51,125
46,16
49,82
6,126
127,96
34,31
128,17
40,6
129,126
115,130
46,15
126,27
131,132
133,22
115,134
47,23
92,135
136,137
138,1
139,6
77,83
45,142
143,41
66,27
144,31
45,76
51,13
43,76
145,40
146,18
47,147
56,51
148,25
149,31
150,138
151,104
41,1
137,85
217,6
78,20
40,3
153,154
34,155
145,1
90,77
156,51
60,16
36,132
157,13
0,18
36,13
6,27
13,31
158,27
75,43
159,13
139,1
72,83
65,16
138,160
161,49
82,6
162,13
163,6
164,45
165,166
162,158
161,167
168,15
170,29
68,31
171,27
92,6
168,13
172,83
98,20
68,13
173,20
174,114
52,87
175,13
176,177
162,41
34,3
75,17
178,114
217,22
179,15
61,124
41,94
59,180
181,31
135,1
41,13
169,22
60,177
61,13
48,6
22,31
183,41
41,3
85,121
6,85
42,1
185,17
54,83
82,158
26,43
178,136
133,61
131,3
186,13
120,47
17,47
188,135
34,22
189,158
18,190
183,76
118,142
191,20
184,13
83,13
25,31
57,180
192,25
104,13
193,107
102,13
6,194
195,61
196,138
133,107
17,31
197,34
65,16
33,41
131,13
169,31
198,6
183,199
61,20
82,7
133,83
68,83
200,6
201,202
203,6
204,25
205,65
166,31
100,206
25,110
207,20
6,99
20,208
161,50
114,1
164,13
209,13
104,22
93,47
210,73
128,91
11,22
10,22
211,13
132,15
29,212
213,96
214,31
200,13
92,51
215,1
82,41
216,31
48,217
218,20
13,188
128,4
106,22
90,188
127,28
219,83
220,104
221,20
222,25
219,60
148,223
26,224
41,208
24,102
188,1
225,76
127,47
131,82
40,97
119,12
146,190
217,6
112,34
226,22
58,16
6,188
227,6
38,20
228,25
31,212
229,16
111,17
54,6
20,230
231,16
232,6
171,104
58,156
82,97
233,234
9,25
219,15
219,235
41,126
18,1
236,27
129,13
45,28
82,238
193,20
119,199
51,31
104,217
2,23
17,138
239,92
143,6
92,1
96,13
91,13
240,1
164,17
119,138
110,27
15,16
153,28
22,6
241,12
242,138
185,6
2,83
6,94
244,65
133,31
169,21
65,115
113,190
47,83
4,13
245,1
10,196
243,208
50,27
92,14
246,20
234,6
247,43
234,248
61,249
38,133
250,25
251,208
252,73
249,253
213,18
123,20
255,62
89,13
10,3
221,141
257,20
22,110
229,43
183,248
183,6
168,20
173,22
235,15
66,87
215,92
56,180
50,47
104,20
137,258
259,20
123,13
83,105
204,31
260,34
64,82
261,13
262,263
231,83
264,25
265,37
216,65
46,13
176,135
236,13
266,28
259,22
4,3
177,94
22,212
193,263
114,73
267,65
268,142
67,114
249,20
65,31
269,110
15,83
190,1
40,82
56,65
198,217
58,270
217,20
158,230
271,21
28,1
272,168
247,6
247,76
273,1
163,13
274,138
275,31
60,105
170,212
200,87
276,31
241,138
87,277
157,41
188,29
137,114
10,13
41,79
193,104
62,13
40,34
278,31
272,15
179,13
246,279
8,25
126,1
280,87
47,20
3,1
281,85
271,31
118,76
34,6
282,110
268,76
10,47
92,57
284,38
282,285
249,13
18,97
54,243
129,41
286,6
2,13
287,13
72,97
54,3
49,47
80,36
251,79
208,13
289,13
290,20
62,31
158,1
24,41
123,243
166,267
292,31
293,25
17,13
49,22
37,22
95,294
68,79
17,28
296,65
49,297
272,132
222,110
136,95
34,276
298,12
68,6
22,41
217,23
189,41
47,41
186,6
151,77
61,54
253,5
299,253
4,47
165,65
4,18
271,13
15,25
251,158
82,27
300,20
47,22
36,301
272,36
165,267
158,79
4,17
90,13
24,302
49,13
262,77
3,82
303,82
98,107
30,13
202,31
304,66
3,6
34,16
47,18
49,164
127,138
196,13
157,158
21,22
174,1
159,126
126,13
82,248
145,100
54,20
305,92
279,31
306,6
240,73
66,13
20,13
145,34
215,180
307,13
6,13
308,6
85,1
95,114
15,3
82,1
82,18
80,13
137,1
227,73
54,5
104,217
106,31
114,85
309,1
168,22
104,310
71,13
132,31
183,142
298,16
311,138
7,29
41,6
178,85
164,47
13,18
195,31
58,51
47,6
312,62
219,36
313,22
314,138
263,22
17,22
133,20
265,22
141,121
40,31
290,184
46,20
148,31
82,13
38,22
44,76
315,34
316,6
43,138
179,131
41,85
240,85
317,142
116,47
303,22
293,31
100,31
274,43
145,155
179,22
74,35
298,1
317,28
47,1
132,301
318,13
143,135
49,319
292,62
320,6
1,94
154,121
169,271
107,21
92,41
119,28
17,298
37,13
112,40
321,1
282,62
13,23
246,22
82,22
